Age,Attrition,BusinessTravel,Department,DistanceFromHome,Gender,JobLevel,JobSatisfaction,MonthlyIncome,NumCompaniesWorked,PercentSalaryHike,PerformanceRating,RelationshipSatisfaction,TrainingTimesLastYear,WorkLifeBalance,YearsAtCompany,YearsInCurrentRole,YearsSinceLastPromotion,YearsWithCurrManager
41,Yes,Travel_Rarely,Sales,1,Female,2,4,5993,8,11,3,1,0,1,6,4,0,5
49,No,Travel_Frequently,Research & Development,8,Male,2,2,5130,1,23,4,4,3,3,10,7,1,7
37,Yes,Travel_Rarely,Research & Development,2,Male,1,3,2090,6,15,3,2,3,3,0,0,0,0
33,No,Travel_Frequently,Research & Development,3,Female,1,3,2909,1,11,3,3,3,3,8,7,3,0
27,No,Travel_Rarely,Research & Development,2,Male,1,2,3468,9,12,3,4,3,3,2,2,2,2
32,No,Travel_Frequently,Research & Development,2,Male,1,4,3068,0,13,3,3,2,2,7,7,3,6
59,No,Travel_Rarely,Research & Development,3,Female,1,1,2670,4,20,4,1,3,2,1,0,0,0
30,No,Travel_Rarely,Research & Development,24,Male,1,3,2693,1,22,4,2,2,3,1,0,0,0
38,No,Travel_Frequently,Research & Development,23,Male,3,3,9526,0,21,4,2,2,3,9,7,1,8
36,No,Travel_Rarely,Research & Development,27,Male,2,3,5237,6,13,3,2,3,2,7,7,7,7
35,No,Travel_Rarely,Research & Development,16,Male,1,2,2426,0,13,3,3,5,3,5,4,0,3
29,No,Travel_Rarely,Research & Development,15,Female,2,3,4193,0,12,3,4,3,3,9,5,0,8
31,No,Travel_Rarely,Research & Development,26,Male,1,3,2911,1,17,3,4,1,2,5,2,4,3
34,No,Travel_Rarely,Research & Development,19,Male,1,4,2661,0,11,3,3,2,3,2,2,1,2
28,Yes,Travel_Rarely,Research & Development,24,Male,1,3,2028,5,14,3,2,4,3,4,2,0,3
29,No,Travel_Rarely,Research & Development,21,Female,3,1,9980,1,11,3,3,1,3,10,9,8,8
32,No,Travel_Rarely,Research & Development,5,Male,1,2,3298,0,12,3,4,5,2,6,2,0,5
22,No,Non-Travel,Research & Development,16,Male,1,4,2935,1,13,3,2,2,2,1,0,0,0
53,No,Travel_Rarely,Sales,2,Female,4,4,15427,2,16,3,3,3,3,25,8,3,7
38,No,Travel_Rarely,Research & Development,2,Male,1,4,3944,5,11,3,3,3,3,3,2,1,2
24,No,Non-Travel,Research & Development,11,Female,2,3,4011,0,18,3,4,5,2,4,2,1,3
36,Yes,Travel_Rarely,Sales,9,Male,1,1,3407,7,23,4,2,4,3,5,3,0,3
34,No,Travel_Rarely,Research & Development,7,Female,3,2,11994,0,11,3,3,4,3,12,6,2,11
21,No,Travel_Rarely,Research & Development,15,Male,1,4,1232,1,14,3,4,6,3,0,0,0,0
34,Yes,Travel_Rarely,Research & Development,6,Male,1,1,2960,2,11,3,3,2,3,4,2,1,3
53,No,Travel_Rarely,Research & Development,5,Female,5,3,19094,4,11,3,4,3,2,14,13,4,8
32,Yes,Travel_Frequently,Research & Development,16,Female,1,1,3919,1,22,4,2,5,3,10,2,6,7
